pair,n_points,c_time_s,c_rmse,l_time_s,l_rmse,f_time_s,f_rmse,f_model,read_sec,pair_frames
0-1,289430,0.16866850,0.00637328,0.86656100,0.00594617,0.21130800,0.00637328,const,10.69921803,0(113_126) & 1(113_121)
0-4,1645754,0.04487540,0.00794785,0.14313500,0.00754522,1.62053830,0.00794785,const,2.68517947,0(113_126) & 4(11_121)
0-7,11037810,0.31454070,0.00924539,1.02228340,0.00918702,9.00558180,0.00924539,const,9.67542386,0(113_126) & 7(40_127)
0-8,198738,0.00848410,0.01260919,0.02069250,0.01255276,0.61559610,0.00759136,linear,3.02078080,0(113_126) & 8(40_122)
1-2,183168,0.01013800,0.00678557,0.02413670,0.00678484,0.14610590,0.00678557,const,4.29506159,1(113_121) & 2(113_116)
1-4,10876514,0.33953340,0.00758554,1.09339670,0.00755371,9.03525920,0.00758554,const,8.83895063,1(113_121) & 4(11_121)
1-5,1120413,0.03053960,0.00839190,0.12507180,0.00838284,0.92177390,0.00839190,const,2.58953738,1(113_121) & 5(11_116)
1-8,7653355,0.22395040,0.01707433,0.71629820,0.01655627,28.61848290,0.00187793,linear,9.00605011,1(113_121) & 8(40_122)
1-9,508774,0.01596650,0.00919812,0.04768650,0.00890270,0.43664470,0.00919812,const,3.04942489,1(113_121) & 9(40_117)
2-3,110520,0.00252580,0.00873180,0.00741220,0.00873180,0.08548510,0.00873180,const,4.31004930,2(113_116) & 3(113_111)
2-5,5735343,0.22017120,0.01272273,0.57825660,0.01269955,28.75108610,0.00152000,linear,8.80041265,2(113_116) & 5(11_116)
2-6,998626,0.03176010,0.01407139,0.09474950,0.01326130,0.82761490,0.01407139,const,2.90049052,2(113_116) & 6(11_111)
2-9,6869282,0.25412690,0.02034425,0.75701160,0.01550156,33.30740140,0.00921625,linear,9.77234173,2(113_116) & 9(40_117)
3-6,957596,0.02329760,0.01254969,0.06639250,0.01254525,0.55987350,0.01254969,const,8.67655921,3(113_111) & 6(11_111)
4-5,242558,0.00592000,0.00963253,0.01953280,0.00871012,0.19802750,0.00963253,const,1.75106311,4(11_121) & 5(11_116)
5-6,63400,0.00147910,0.00824528,0.00417510,0.00822330,0.03032850,0.00824528,const,2.71635747,5(11_116) & 6(11_111)
7-8,211203,0.00529830,0.02239302,0.01996190,0.02201935,0.75738580,0.00207576,linear,6.02426839,7(40_127) & 8(40_122)
8-9,258228,0.00657900,0.01109318,0.02210570,0.01051473,1.14539240,0.00709798,linear,4.06419349,8(40_122) & 9(40_117)
